序号	Emoji	建议分类	展示方式	主网格代表	原始界面位置	图片文件	图片存在	CodePoint	Unicode分组	Unicode子组	Unicode状态	中文名	英文名
1519	🧑‍🦽	人物活动	主网格	🧑‍🦽	Emoji·表情与人物 / 第 12 行	1f9d1-200d-1f9bd.png	是	U+1F9D1 U+200D U+1F9BD	People & Body	person-activity	fully-qualified	坐手动轮椅的人	ADULT / MANUAL WHEELCHAIR
1520	🧑🏻‍🦽	人物活动	肤色变体（右键）	🧑🏻‍🦽	未直接列在现有 Emoji 网格	1f9d1-1f3fb-200d-1f9bd.png	是	U+1F9D1 U+1F3FB U+200D U+1F9BD	People & Body	person-activity	fully-qualified	成年人、较浅肤色、ManualWheelchair	ADULT / LIGHT SKIN TONE / MANUAL WHEELCHAIR
1521	🧑🏼‍🦽	人物活动	肤色变体（右键）	🧑🏼‍🦽	未直接列在现有 Emoji 网格	1f9d1-1f3fc-200d-1f9bd.png	是	U+1F9D1 U+1F3FC U+200D U+1F9BD	People & Body	person-activity	fully-qualified	成年人、中等偏浅肤色、ManualWheelchair	ADULT / MEDIUM-LIGHT SKIN TONE / MANUAL WHEELCHAIR
1522	🧑🏽‍🦽	人物活动	肤色变体（右键）	🧑🏽‍🦽	未直接列在现有 Emoji 网格	1f9d1-1f3fd-200d-1f9bd.png	是	U+1F9D1 U+1F3FD U+200D U+1F9BD	People & Body	person-activity	fully-qualified	成年人、中等肤色、ManualWheelchair	ADULT / MEDIUM SKIN TONE / MANUAL WHEELCHAIR
1523	🧑🏾‍🦽	人物活动	肤色变体（右键）	🧑🏾‍🦽	未直接列在现有 Emoji 网格	1f9d1-1f3fe-200d-1f9bd.png	是	U+1F9D1 U+1F3FE U+200D U+1F9BD	People & Body	person-activity	fully-qualified	成年人、中等偏深肤色、ManualWheelchair	ADULT / MEDIUM-DARK SKIN TONE / MANUAL WHEELCHAIR
1524	🧑🏿‍🦽	人物活动	肤色变体（右键）	🧑🏿‍🦽	未直接列在现有 Emoji 网格	1f9d1-1f3ff-200d-1f9bd.png	是	U+1F9D1 U+1F3FF U+200D U+1F9BD	People & Body	person-activity	fully-qualified	成年人、较深肤色、ManualWheelchair	ADULT / DARK SKIN TONE / MANUAL WHEELCHAIR
1525	👨‍🦽	人物活动	主网格	👨‍🦽	Emoji·表情与人物 / 第 9 行	1f468-200d-1f9bd.png	是	U+1F468 U+200D U+1F9BD	People & Body	person-activity	fully-qualified	坐手动轮椅的男人	MAN / MANUAL WHEELCHAIR
1526	👨🏻‍🦽	人物活动	肤色变体（右键）	👨🏻‍🦽	未直接列在现有 Emoji 网格	1f468-1f3fb-200d-1f9bd.png	是	U+1F468 U+1F3FB U+200D U+1F9BD	People & Body	person-activity	fully-qualified	男性、较浅肤色、ManualWheelchair	MAN / LIGHT SKIN TONE / MANUAL WHEELCHAIR
1527	👨🏼‍🦽	人物活动	肤色变体（右键）	👨🏼‍🦽	未直接列在现有 Emoji 网格	1f468-1f3fc-200d-1f9bd.png	是	U+1F468 U+1F3FC U+200D U+1F9BD	People & Body	person-activity	fully-qualified	男性、中等偏浅肤色、ManualWheelchair	MAN / MEDIUM-LIGHT SKIN TONE / MANUAL WHEELCHAIR
1528	👨🏽‍🦽	人物活动	肤色变体（右键）	👨🏽‍🦽	未直接列在现有 Emoji 网格	1f468-1f3fd-200d-1f9bd.png	是	U+1F468 U+1F3FD U+200D U+1F9BD	People & Body	person-activity	fully-qualified	男性、中等肤色、ManualWheelchair	MAN / MEDIUM SKIN TONE / MANUAL WHEELCHAIR
1529	👨🏾‍🦽	人物活动	肤色变体（右键）	👨🏾‍🦽	未直接列在现有 Emoji 网格	1f468-1f3fe-200d-1f9bd.png	是	U+1F468 U+1F3FE U+200D U+1F9BD	People & Body	person-activity	fully-qualified	男性、中等偏深肤色、ManualWheelchair	MAN / MEDIUM-DARK SKIN TONE / MANUAL WHEELCHAIR
1530	👨🏿‍🦽	人物活动	肤色变体（右键）	👨🏿‍🦽	未直接列在现有 Emoji 网格	1f468-1f3ff-200d-1f9bd.png	是	U+1F468 U+1F3FF U+200D U+1F9BD	People & Body	person-activity	fully-qualified	男性、较深肤色、ManualWheelchair	MAN / DARK SKIN TONE / MANUAL WHEELCHAIR
1531	👩‍🦽	人物活动	主网格	👩‍🦽	Emoji·表情与人物 / 第 12 行	1f469-200d-1f9bd.png	是	U+1F469 U+200D U+1F9BD	People & Body	person-activity	fully-qualified	坐手动轮椅的女人	WOMAN / MANUAL WHEELCHAIR
1532	👩🏻‍🦽	人物活动	肤色变体（右键）	👩🏻‍🦽	未直接列在现有 Emoji 网格	1f469-1f3fb-200d-1f9bd.png	是	U+1F469 U+1F3FB U+200D U+1F9BD	People & Body	person-activity	fully-qualified	女性、较浅肤色、ManualWheelchair	WOMAN / LIGHT SKIN TONE / MANUAL WHEELCHAIR
1533	👩🏼‍🦽	人物活动	肤色变体（右键）	👩🏼‍🦽	未直接列在现有 Emoji 网格	1f469-1f3fc-200d-1f9bd.png	是	U+1F469 U+1F3FC U+200D U+1F9BD	People & Body	person-activity	fully-qualified	女性、中等偏浅肤色、ManualWheelchair	WOMAN / MEDIUM-LIGHT SKIN TONE / MANUAL WHEELCHAIR
1534	👩🏽‍🦽	人物活动	肤色变体（右键）	👩🏽‍🦽	未直接列在现有 Emoji 网格	1f469-1f3fd-200d-1f9bd.png	是	U+1F469 U+1F3FD U+200D U+1F9BD	People & Body	person-activity	fully-qualified	女性、中等肤色、ManualWheelchair	WOMAN / MEDIUM SKIN TONE / MANUAL WHEELCHAIR
1535	👩🏾‍🦽	人物活动	肤色变体（右键）	👩🏾‍🦽	未直接列在现有 Emoji 网格	1f469-1f3fe-200d-1f9bd.png	是	U+1F469 U+1F3FE U+200D U+1F9BD	People & Body	person-activity	fully-qualified	女性、中等偏深肤色、ManualWheelchair	WOMAN / MEDIUM-DARK SKIN TONE / MANUAL WHEELCHAIR
1536	👩🏿‍🦽	人物活动	肤色变体（右键）	👩🏿‍🦽	未直接列在现有 Emoji 网格	1f469-1f3ff-200d-1f9bd.png	是	U+1F469 U+1F3FF U+200D U+1F9BD	People & Body	person-activity	fully-qualified	女性、较深肤色、ManualWheelchair	WOMAN / DARK SKIN TONE / MANUAL WHEELCHAIR
1537	🏃	人物活动	主网格	🏃	Emoji·符号与旗帜 / 第 40 行	1f3c3.png	是	U+1F3C3	People & Body	person-activity	fully-qualified	跑步者	RUNNER
1538	🏃🏻	人物活动	肤色变体（右键）	🏃🏻	未直接列在现有 Emoji 网格	1f3c3-1f3fb.png	是	U+1F3C3 U+1F3FB	People & Body	person-activity	fully-qualified	Runner、较浅肤色	RUNNER / LIGHT SKIN TONE
1539	🏃🏼	人物活动	肤色变体（右键）	🏃🏼	未直接列在现有 Emoji 网格	1f3c3-1f3fc.png	是	U+1F3C3 U+1F3FC	People & Body	person-activity	fully-qualified	Runner、中等偏浅肤色	RUNNER / MEDIUM-LIGHT SKIN TONE
1540	🏃🏽	人物活动	肤色变体（右键）	🏃🏽	未直接列在现有 Emoji 网格	1f3c3-1f3fd.png	是	U+1F3C3 U+1F3FD	People & Body	person-activity	fully-qualified	Runner、中等肤色	RUNNER / MEDIUM SKIN TONE
1541	🏃🏾	人物活动	肤色变体（右键）	🏃🏾	未直接列在现有 Emoji 网格	1f3c3-1f3fe.png	是	U+1F3C3 U+1F3FE	People & Body	person-activity	fully-qualified	Runner、中等偏深肤色	RUNNER / MEDIUM-DARK SKIN TONE
1542	🏃🏿	人物活动	肤色变体（右键）	🏃🏿	未直接列在现有 Emoji 网格	1f3c3-1f3ff.png	是	U+1F3C3 U+1F3FF	People & Body	person-activity	fully-qualified	Runner、较深肤色	RUNNER / DARK SKIN TONE
1543	🏃‍♂️	人物活动	主网格	🏃‍♂️	Emoji·符号与旗帜 / 第 29 行	1f3c3-200d-2642.png	是	U+1F3C3 U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	男生跑步	RUNNER / MALE SIGN
1544	🏃🏻‍♂️	人物活动	肤色变体（右键）	🏃🏻‍♂️	未直接列在现有 Emoji 网格	1f3c3-1f3fb-200d-2642.png	是	U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	Runner、较浅肤色、男性符号	RUNNER / LIGHT SKIN TONE / MALE SIGN
1545	🏃🏼‍♂️	人物活动	肤色变体（右键）	🏃🏼‍♂️	未直接列在现有 Emoji 网格	1f3c3-1f3fc-200d-2642.png	是	U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等偏浅肤色、男性符号	RUNNER / MEDIUM-LIGHT SKIN TONE / MALE SIGN
1546	🏃🏽‍♂️	人物活动	肤色变体（右键）	🏃🏽‍♂️	未直接列在现有 Emoji 网格	1f3c3-1f3fd-200d-2642.png	是	U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等肤色、男性符号	RUNNER / MEDIUM SKIN TONE / MALE SIGN
1547	🏃🏾‍♂️	人物活动	肤色变体（右键）	🏃🏾‍♂️	未直接列在现有 Emoji 网格	1f3c3-1f3fe-200d-2642.png	是	U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等偏深肤色、男性符号	RUNNER / MEDIUM-DARK SKIN TONE / MALE SIGN
1548	🏃🏿‍♂️	人物活动	肤色变体（右键）	🏃🏿‍♂️	未直接列在现有 Emoji 网格	1f3c3-1f3ff-200d-2642.png	是	U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	Runner、较深肤色、男性符号	RUNNER / DARK SKIN TONE / MALE SIGN
1549	🏃‍♀️	人物活动	主网格	🏃‍♀️	Emoji·符号与旗帜 / 第 29 行	1f3c3-200d-2640.png	是	U+1F3C3 U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	女生跑步	RUNNER / FEMALE SIGN
1550	🏃🏻‍♀️	人物活动	肤色变体（右键）	🏃🏻‍♀️	未直接列在现有 Emoji 网格	1f3c3-1f3fb-200d-2640.png	是	U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	Runner、较浅肤色、女性符号	RUNNER / LIGHT SKIN TONE / FEMALE SIGN
1551	🏃🏼‍♀️	人物活动	肤色变体（右键）	🏃🏼‍♀️	未直接列在现有 Emoji 网格	1f3c3-1f3fc-200d-2640.png	是	U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等偏浅肤色、女性符号	RUNNER / MEDIUM-LIGHT SKIN TONE / FEMALE SIGN
1552	🏃🏽‍♀️	人物活动	肤色变体（右键）	🏃🏽‍♀️	未直接列在现有 Emoji 网格	1f3c3-1f3fd-200d-2640.png	是	U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等肤色、女性符号	RUNNER / MEDIUM SKIN TONE / FEMALE SIGN
1553	🏃🏾‍♀️	人物活动	肤色变体（右键）	🏃🏾‍♀️	未直接列在现有 Emoji 网格	1f3c3-1f3fe-200d-2640.png	是	U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	Runner、中等偏深肤色、女性符号	RUNNER / MEDIUM-DARK SKIN TONE / FEMALE SIGN
1554	🏃🏿‍♀️	人物活动	肤色变体（右键）	🏃🏿‍♀️	未直接列在现有 Emoji 网格	1f3c3-1f3ff-200d-2640.png	是	U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	Runner、较深肤色、女性符号	RUNNER / DARK SKIN TONE / FEMALE SIGN
1555	💃	人物活动	主网格	💃	Emoji·符号与旗帜 / 第 43 行	1f483.png	是	U+1F483	People & Body	person-activity	fully-qualified	跳舞的女人	DANCER
1556	💃🏻	人物活动	肤色变体（右键）	💃🏻	未直接列在现有 Emoji 网格	1f483-1f3fb.png	是	U+1F483 U+1F3FB	People & Body	person-activity	fully-qualified	Dancer、较浅肤色	DANCER / LIGHT SKIN TONE
1557	💃🏼	人物活动	肤色变体（右键）	💃🏼	未直接列在现有 Emoji 网格	1f483-1f3fc.png	是	U+1F483 U+1F3FC	People & Body	person-activity	fully-qualified	Dancer、中等偏浅肤色	DANCER / MEDIUM-LIGHT SKIN TONE
1558	💃🏽	人物活动	肤色变体（右键）	💃🏽	未直接列在现有 Emoji 网格	1f483-1f3fd.png	是	U+1F483 U+1F3FD	People & Body	person-activity	fully-qualified	Dancer、中等肤色	DANCER / MEDIUM SKIN TONE
1559	💃🏾	人物活动	肤色变体（右键）	💃🏾	未直接列在现有 Emoji 网格	1f483-1f3fe.png	是	U+1F483 U+1F3FE	People & Body	person-activity	fully-qualified	Dancer、中等偏深肤色	DANCER / MEDIUM-DARK SKIN TONE
1560	💃🏿	人物活动	肤色变体（右键）	💃🏿	未直接列在现有 Emoji 网格	1f483-1f3ff.png	是	U+1F483 U+1F3FF	People & Body	person-activity	fully-qualified	Dancer、较深肤色	DANCER / DARK SKIN TONE
1561	🕺	人物活动	主网格	🕺	Emoji·表情与人物 / 第 19 行	1f57a.png	是	U+1F57A	People & Body	person-activity	fully-qualified	跳舞的男人	MAN DANCING
1562	🕺🏻	人物活动	肤色变体（右键）	🕺🏻	未直接列在现有 Emoji 网格	1f57a-1f3fb.png	是	U+1F57A U+1F3FB	People & Body	person-activity	fully-qualified	男性Dancing、较浅肤色	MAN DANCING / LIGHT SKIN TONE
1563	🕺🏼	人物活动	肤色变体（右键）	🕺🏼	未直接列在现有 Emoji 网格	1f57a-1f3fc.png	是	U+1F57A U+1F3FC	People & Body	person-activity	fully-qualified	男性Dancing、中等偏浅肤色	MAN DANCING / MEDIUM-LIGHT SKIN TONE
1564	🕺🏽	人物活动	肤色变体（右键）	🕺🏽	未直接列在现有 Emoji 网格	1f57a-1f3fd.png	是	U+1F57A U+1F3FD	People & Body	person-activity	fully-qualified	男性Dancing、中等肤色	MAN DANCING / MEDIUM SKIN TONE
1565	🕺🏾	人物活动	肤色变体（右键）	🕺🏾	未直接列在现有 Emoji 网格	1f57a-1f3fe.png	是	U+1F57A U+1F3FE	People & Body	person-activity	fully-qualified	男性Dancing、中等偏深肤色	MAN DANCING / MEDIUM-DARK SKIN TONE
1566	🕺🏿	人物活动	肤色变体（右键）	🕺🏿	未直接列在现有 Emoji 网格	1f57a-1f3ff.png	是	U+1F57A U+1F3FF	People & Body	person-activity	fully-qualified	男性Dancing、较深肤色	MAN DANCING / DARK SKIN TONE
1567	🕴️	人物活动	主网格	🕴️	Emoji·表情与人物 / 第 19 行	1f574.png	是	U+1F574 U+FE0F	People & Body	person-activity	fully-qualified	西装革履的人	MAN IN BUSINESS SUIT LEVITATING
1568	🕴	人物活动	呈现别名（不重复显示）	🕴️	Emoji·表情与人物 / 第 19 行	1f574.png	是	U+1F574	People & Body	person-activity	unqualified	西装革履的人	MAN IN BUSINESS SUIT LEVITATING
1569	🕴🏻	人物活动	肤色变体（右键）	🕴🏻	未直接列在现有 Emoji 网格	1f574-1f3fb.png	是	U+1F574 U+1F3FB	People & Body	person-activity	fully-qualified	男性内BusinessSuitLevitating、较浅肤色	MAN IN BUSINESS SUIT LEVITATING / LIGHT SKIN TONE
1570	🕴🏼	人物活动	肤色变体（右键）	🕴🏼	未直接列在现有 Emoji 网格	1f574-1f3fc.png	是	U+1F574 U+1F3FC	People & Body	person-activity	fully-qualified	男性内BusinessSuitLevitating、中等偏浅肤色	MAN IN BUSINESS SUIT LEVITATING / MEDIUM-LIGHT SKIN TONE
1571	🕴🏽	人物活动	肤色变体（右键）	🕴🏽	未直接列在现有 Emoji 网格	1f574-1f3fd.png	是	U+1F574 U+1F3FD	People & Body	person-activity	fully-qualified	男性内BusinessSuitLevitating、中等肤色	MAN IN BUSINESS SUIT LEVITATING / MEDIUM SKIN TONE
1572	🕴🏾	人物活动	肤色变体（右键）	🕴🏾	未直接列在现有 Emoji 网格	1f574-1f3fe.png	是	U+1F574 U+1F3FE	People & Body	person-activity	fully-qualified	男性内BusinessSuitLevitating、中等偏深肤色	MAN IN BUSINESS SUIT LEVITATING / MEDIUM-DARK SKIN TONE
1573	🕴🏿	人物活动	肤色变体（右键）	🕴🏿	未直接列在现有 Emoji 网格	1f574-1f3ff.png	是	U+1F574 U+1F3FF	People & Body	person-activity	fully-qualified	男性内BusinessSuitLevitating、较深肤色	MAN IN BUSINESS SUIT LEVITATING / DARK SKIN TONE
1574	👯	人物活动	主网格	👯	Emoji·表情与人物 / 第 19 行	1f46f.png	是	U+1F46F	People & Body	person-activity	fully-qualified	戴兔耳朵的人	WOMAN WITH BUNNY EARS
1575	👯‍♂️	人物活动	主网格	👯‍♂️	Emoji·表情与人物 / 第 16 行	1f46f-200d-2642.png	是	U+1F46F U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	兔先生	WOMAN WITH BUNNY EARS / MALE SIGN
1576	👯‍♀️	人物活动	主网格	👯‍♀️	Emoji·表情与人物 / 第 16 行	1f46f-200d-2640.png	是	U+1F46F U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	兔女郎	WOMAN WITH BUNNY EARS / FEMALE SIGN
1577	🧖	人物活动	主网格	🧖	Emoji·表情与人物 / 第 18 行	1f9d6.png	是	U+1F9D6	People & Body	person-activity	fully-qualified	蒸房里的人	PERSON IN STEAMY ROOM
1578	🧖🏻	人物活动	肤色变体（右键）	🧖🏻	未直接列在现有 Emoji 网格	1f9d6-1f3fb.png	是	U+1F9D6 U+1F3FB	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较浅肤色	PERSON IN STEAMY ROOM / LIGHT SKIN TONE
1579	🧖🏼	人物活动	肤色变体（右键）	🧖🏼	未直接列在现有 Emoji 网格	1f9d6-1f3fc.png	是	U+1F9D6 U+1F3FC	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏浅肤色	PERSON IN STEAMY ROOM / MEDIUM-LIGHT SKIN TONE
1580	🧖🏽	人物活动	肤色变体（右键）	🧖🏽	未直接列在现有 Emoji 网格	1f9d6-1f3fd.png	是	U+1F9D6 U+1F3FD	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等肤色	PERSON IN STEAMY ROOM / MEDIUM SKIN TONE
1581	🧖🏾	人物活动	肤色变体（右键）	🧖🏾	未直接列在现有 Emoji 网格	1f9d6-1f3fe.png	是	U+1F9D6 U+1F3FE	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏深肤色	PERSON IN STEAMY ROOM / MEDIUM-DARK SKIN TONE
1582	🧖🏿	人物活动	肤色变体（右键）	🧖🏿	未直接列在现有 Emoji 网格	1f9d6-1f3ff.png	是	U+1F9D6 U+1F3FF	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较深肤色	PERSON IN STEAMY ROOM / DARK SKIN TONE
1583	🧖‍♂️	人物活动	主网格	🧖‍♂️	Emoji·表情与人物 / 第 15 行	1f9d6-200d-2642.png	是	U+1F9D6 U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	蒸房里的男人	PERSON IN STEAMY ROOM / MALE SIGN
1584	🧖🏻‍♂️	人物活动	肤色变体（右键）	🧖🏻‍♂️	未直接列在现有 Emoji 网格	1f9d6-1f3fb-200d-2642.png	是	U+1F9D6 U+1F3FB U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较浅肤色、男性符号	PERSON IN STEAMY ROOM / LIGHT SKIN TONE / MALE SIGN
1585	🧖🏼‍♂️	人物活动	肤色变体（右键）	🧖🏼‍♂️	未直接列在现有 Emoji 网格	1f9d6-1f3fc-200d-2642.png	是	U+1F9D6 U+1F3FC U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏浅肤色、男性符号	PERSON IN STEAMY ROOM / MEDIUM-LIGHT SKIN TONE / MALE SIGN
1586	🧖🏽‍♂️	人物活动	肤色变体（右键）	🧖🏽‍♂️	未直接列在现有 Emoji 网格	1f9d6-1f3fd-200d-2642.png	是	U+1F9D6 U+1F3FD U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等肤色、男性符号	PERSON IN STEAMY ROOM / MEDIUM SKIN TONE / MALE SIGN
1587	🧖🏾‍♂️	人物活动	肤色变体（右键）	🧖🏾‍♂️	未直接列在现有 Emoji 网格	1f9d6-1f3fe-200d-2642.png	是	U+1F9D6 U+1F3FE U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏深肤色、男性符号	PERSON IN STEAMY ROOM / MEDIUM-DARK SKIN TONE / MALE SIGN
1588	🧖🏿‍♂️	人物活动	肤色变体（右键）	🧖🏿‍♂️	未直接列在现有 Emoji 网格	1f9d6-1f3ff-200d-2642.png	是	U+1F9D6 U+1F3FF U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较深肤色、男性符号	PERSON IN STEAMY ROOM / DARK SKIN TONE / MALE SIGN
1589	🧖‍♀️	人物活动	主网格	🧖‍♀️	Emoji·表情与人物 / 第 15 行	1f9d6-200d-2640.png	是	U+1F9D6 U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	蒸房里的女人	PERSON IN STEAMY ROOM / FEMALE SIGN
1590	🧖🏻‍♀️	人物活动	肤色变体（右键）	🧖🏻‍♀️	未直接列在现有 Emoji 网格	1f9d6-1f3fb-200d-2640.png	是	U+1F9D6 U+1F3FB U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较浅肤色、女性符号	PERSON IN STEAMY ROOM / LIGHT SKIN TONE / FEMALE SIGN
1591	🧖🏼‍♀️	人物活动	肤色变体（右键）	🧖🏼‍♀️	未直接列在现有 Emoji 网格	1f9d6-1f3fc-200d-2640.png	是	U+1F9D6 U+1F3FC U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏浅肤色、女性符号	PERSON IN STEAMY ROOM / MEDIUM-LIGHT SKIN TONE / FEMALE SIGN
1592	🧖🏽‍♀️	人物活动	肤色变体（右键）	🧖🏽‍♀️	未直接列在现有 Emoji 网格	1f9d6-1f3fd-200d-2640.png	是	U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等肤色、女性符号	PERSON IN STEAMY ROOM / MEDIUM SKIN TONE / FEMALE SIGN
1593	🧖🏾‍♀️	人物活动	肤色变体（右键）	🧖🏾‍♀️	未直接列在现有 Emoji 网格	1f9d6-1f3fe-200d-2640.png	是	U+1F9D6 U+1F3FE U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、中等偏深肤色、女性符号	PERSON IN STEAMY ROOM / MEDIUM-DARK SKIN TONE / FEMALE SIGN
1594	🧖🏿‍♀️	人物活动	肤色变体（右键）	🧖🏿‍♀️	未直接列在现有 Emoji 网格	1f9d6-1f3ff-200d-2640.png	是	U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物内SteamyRoom、较深肤色、女性符号	PERSON IN STEAMY ROOM / DARK SKIN TONE / FEMALE SIGN
1595	🧗	人物活动	主网格	🧗	Emoji·表情与人物 / 第 18 行	1f9d7.png	是	U+1F9D7	People & Body	person-activity	fully-qualified	攀爬的人	PERSON CLIMBING
1596	🧗🏻	人物活动	肤色变体（右键）	🧗🏻	未直接列在现有 Emoji 网格	1f9d7-1f3fb.png	是	U+1F9D7 U+1F3FB	People & Body	person-activity	fully-qualified	人物Climbing、较浅肤色	PERSON CLIMBING / LIGHT SKIN TONE
1597	🧗🏼	人物活动	肤色变体（右键）	🧗🏼	未直接列在现有 Emoji 网格	1f9d7-1f3fc.png	是	U+1F9D7 U+1F3FC	People & Body	person-activity	fully-qualified	人物Climbing、中等偏浅肤色	PERSON CLIMBING / MEDIUM-LIGHT SKIN TONE
1598	🧗🏽	人物活动	肤色变体（右键）	🧗🏽	未直接列在现有 Emoji 网格	1f9d7-1f3fd.png	是	U+1F9D7 U+1F3FD	People & Body	person-activity	fully-qualified	人物Climbing、中等肤色	PERSON CLIMBING / MEDIUM SKIN TONE
1599	🧗🏾	人物活动	肤色变体（右键）	🧗🏾	未直接列在现有 Emoji 网格	1f9d7-1f3fe.png	是	U+1F9D7 U+1F3FE	People & Body	person-activity	fully-qualified	人物Climbing、中等偏深肤色	PERSON CLIMBING / MEDIUM-DARK SKIN TONE
1600	🧗🏿	人物活动	肤色变体（右键）	🧗🏿	未直接列在现有 Emoji 网格	1f9d7-1f3ff.png	是	U+1F9D7 U+1F3FF	People & Body	person-activity	fully-qualified	人物Climbing、较深肤色	PERSON CLIMBING / DARK SKIN TONE
1601	🧗‍♂️	人物活动	主网格	🧗‍♂️	Emoji·表情与人物 / 第 15 行	1f9d7-200d-2642.png	是	U+1F9D7 U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	攀爬的男人	PERSON CLIMBING / MALE SIGN
1602	🧗🏻‍♂️	人物活动	肤色变体（右键）	🧗🏻‍♂️	未直接列在现有 Emoji 网格	1f9d7-1f3fb-200d-2642.png	是	U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、较浅肤色、男性符号	PERSON CLIMBING / LIGHT SKIN TONE / MALE SIGN
1603	🧗🏼‍♂️	人物活动	肤色变体（右键）	🧗🏼‍♂️	未直接列在现有 Emoji 网格	1f9d7-1f3fc-200d-2642.png	是	U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、中等偏浅肤色、男性符号	PERSON CLIMBING / MEDIUM-LIGHT SKIN TONE / MALE SIGN
1604	🧗🏽‍♂️	人物活动	肤色变体（右键）	🧗🏽‍♂️	未直接列在现有 Emoji 网格	1f9d7-1f3fd-200d-2642.png	是	U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、中等肤色、男性符号	PERSON CLIMBING / MEDIUM SKIN TONE / MALE SIGN
1605	🧗🏾‍♂️	人物活动	肤色变体（右键）	🧗🏾‍♂️	未直接列在现有 Emoji 网格	1f9d7-1f3fe-200d-2642.png	是	U+1F9D7 U+1F3FE U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、中等偏深肤色、男性符号	PERSON CLIMBING / MEDIUM-DARK SKIN TONE / MALE SIGN
1606	🧗🏿‍♂️	人物活动	肤色变体（右键）	🧗🏿‍♂️	未直接列在现有 Emoji 网格	1f9d7-1f3ff-200d-2642.png	是	U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、较深肤色、男性符号	PERSON CLIMBING / DARK SKIN TONE / MALE SIGN
1607	🧗‍♀️	人物活动	主网格	🧗‍♀️	Emoji·表情与人物 / 第 15 行	1f9d7-200d-2640.png	是	U+1F9D7 U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	攀爬的女人	PERSON CLIMBING / FEMALE SIGN
1608	🧗🏻‍♀️	人物活动	肤色变体（右键）	🧗🏻‍♀️	未直接列在现有 Emoji 网格	1f9d7-1f3fb-200d-2640.png	是	U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F	People & Body	person-activity	fully-qualified	人物Climbing、较浅肤色、女性符号	PERSON CLIMBING / LIGHT SKIN TONE / FEMALE SIGN
